"","V1","V2","V3","V4"
"result.1",1,508,56,734
"result.2",2,505,52,757
"result.3",3,505,52,772
"result.4",4,511,45,779
"result.5",5,504,61,769
"result.6",6,502,49,772
"result.7",7,503,52,777
"result.8",8,502,53,780
"result.9",9,505,53,776
"result.10",10,505,46,782
"result.11",11,509,46,769
"result.12",12,505,45,777
"result.13",13,504,47,726
"result.14",14,501,61,783
"result.15",15,501,39,743
"result.16",16,506,61,769
"result.17",17,501,59,781
"result.18",18,501,56,781
"result.19",19,505,45,783
"result.20",20,504,66,766
"result.21",21,507,48,774
"result.22",22,508,50,774
"result.23",23,506,42,784
"result.24",24,502,57,777
"result.25",25,504,46,782
"result.26",26,502,49,754
"result.27",27,509,77,775
"result.28",28,501,58,780
"result.29",29,504,51,780
"result.30",30,503,62,750
"result.31",31,504,53,769
"result.32",32,503,50,740
"result.33",33,506,38,781
"result.34",34,511,49,737
"result.35",35,501,51,783
"result.36",36,508,57,762
"result.37",37,506,44,777
"result.38",38,508,55,780
"result.39",39,509,39,690
"result.40",40,502,60,775
"result.41",41,509,45,784
"result.42",42,503,55,770
"result.43",43,504,60,783
"result.44",44,503,48,754
"result.45",45,505,46,756
"result.46",46,507,40,775
"result.47",47,512,47,763
"result.48",48,501,61,783
"result.49",49,501,48,765
"result.50",50,505,55,781
"result.51",51,506,48,778
"result.52",52,501,65,758
"result.53",53,507,47,760
"result.54",54,502,45,748
"result.55",55,504,49,783
"result.56",56,501,44,781
"result.57",57,502,51,753
"result.58",58,504,47,783
"result.59",59,506,61,784
"result.60",60,506,44,770
"result.61",61,501,50,766
"result.62",62,501,45,781
"result.63",63,505,53,729
"result.64",64,513,57,754
"result.65",65,502,48,757
"result.66",66,505,40,770
"result.67",67,506,55,775
"result.68",68,501,61,753
"result.69",69,502,58,781
"result.70",70,506,50,770
"result.71",71,502,39,770
"result.72",72,506,55,781
"result.73",73,502,43,782
"result.74",74,507,47,781
"result.75",75,503,39,783
"result.76",76,505,52,734
"result.77",77,508,54,784
"result.78",78,504,60,779
"result.79",79,512,44,762
"result.80",80,506,51,773
"result.81",81,505,55,736
"result.82",82,507,63,774
"result.83",83,503,54,776
"result.84",84,505,65,771
"result.85",85,501,42,777
"result.86",86,510,53,753
"result.87",87,505,55,750
"result.88",88,509,57,781
"result.89",89,506,61,780
"result.90",90,510,55,762
"result.91",91,505,50,741
"result.92",92,506,53,756
"result.93",93,504,52,758
"result.94",94,501,55,781
"result.95",95,505,53,765
"result.96",96,502,59,780
"result.97",97,504,56,772
"result.98",98,504,59,779
"result.99",99,506,48,783
"result.100",100,513,43,767
"result.101",101,506,44,746
"result.102",102,503,54,753
"result.103",103,502,48,749
"result.104",104,505,44,780
"result.105",105,504,58,782
"result.106",106,507,52,781
"result.107",107,501,35,771
"result.108",108,506,53,784
"result.109",109,503,53,772
"result.110",110,503,45,778
"result.111",111,510,52,774
"result.112",112,503,50,782
"result.113",113,509,58,781
"result.114",114,504,46,780
"result.115",115,506,63,763
"result.116",116,506,54,775
"result.117",117,501,46,782
"result.118",118,509,43,781
"result.119",119,503,46,780
"result.120",120,502,51,770
"result.121",121,509,46,752
"result.122",122,501,52,782
"result.123",123,502,51,781
"result.124",124,504,40,765
"result.125",125,502,44,772
"result.126",126,513,57,776
"result.127",127,507,54,770
"result.128",128,506,54,780
"result.129",129,506,47,757
"result.130",130,501,49,758
"result.131",131,501,55,777
"result.132",132,501,54,734
"result.133",133,503,47,701
"result.134",134,502,52,783
"result.135",135,505,58,782
"result.136",136,502,54,779
"result.137",137,504,59,782
"result.138",138,504,49,775
"result.139",139,509,54,774
"result.140",140,502,54,783
"result.141",141,502,53,748
"result.142",142,501,71,759
"result.143",143,501,53,777
"result.144",144,501,42,744
"result.145",145,501,54,779
"result.146",146,502,50,784
"result.147",147,502,52,784
"result.148",148,506,46,757
"result.149",149,502,39,784
"result.150",150,501,45,783
"result.151",151,501,57,760
"result.152",152,506,61,766
"result.153",153,508,51,782
"result.154",154,503,56,771
"result.155",155,504,58,778
"result.156",156,506,42,778
"result.157",157,501,56,740
"result.158",158,510,47,780
"result.159",159,502,63,751
"result.160",160,502,62,762
"result.161",161,501,52,764
"result.162",162,512,58,755
"result.163",163,513,54,781
"result.164",164,501,54,773
"result.165",165,507,45,784
"result.166",166,507,41,778
"result.167",167,511,37,757
"result.168",168,503,64,784
"result.169",169,502,41,767
"result.170",170,501,53,770
"result.171",171,501,53,768
"result.172",172,507,47,779
"result.173",173,502,48,769
"result.174",174,511,47,718
"result.175",175,501,50,779
"result.176",176,506,41,706
"result.177",177,504,51,780
"result.178",178,515,41,742
"result.179",179,505,57,723
"result.180",180,507,61,772
"result.181",181,504,48,760
"result.182",182,503,48,779
"result.183",183,505,42,743
"result.184",184,504,48,777
"result.185",185,509,50,782
"result.186",186,503,50,779
"result.187",187,505,43,774
"result.188",188,511,56,771
"result.189",189,508,54,779
"result.190",190,502,50,783
"result.191",191,507,37,771
"result.192",192,503,56,784
"result.193",193,503,65,772
"result.194",194,501,53,774
"result.195",195,504,46,781
"result.196",196,504,55,781
"result.197",197,509,50,711
"result.198",198,502,45,781
"result.199",199,503,48,749
"result.200",200,506,66,779
"result.201",201,501,55,771
"result.202",202,506,55,745
"result.203",203,511,48,749
"result.204",204,502,51,729
"result.205",205,506,46,781
"result.206",206,502,45,784
"result.207",207,505,52,779
"result.208",208,504,55,781
"result.209",209,505,47,749
"result.210",210,502,53,774
"result.211",211,504,55,780
"result.212",212,504,44,781
"result.213",213,503,56,774
"result.214",214,503,53,778
"result.215",215,504,37,784
"result.216",216,502,49,784
"result.217",217,505,50,770
"result.218",218,502,47,782
