"","V1","V2","V3","V4"
"result.1",1,89,75,767
"result.2",2,67,48,779
"result.3",3,65,52,744
"result.4",4,73,56,784
"result.5",5,73,54,784
"result.6",6,69,54,774
"result.7",7,68,60,771
"result.8",8,69,55,770
"result.9",9,74,51,748
"result.10",10,60,46,782
"result.11",11,66,58,777
"result.12",12,65,54,761
"result.13",13,65,45,779
"result.14",14,61,43,780
"result.15",15,72,62,778
"result.16",16,56,41,773
"result.17",17,91,48,777
"result.18",18,51,46,770
"result.19",19,42,37,765
"result.20",20,65,50,771
"result.21",21,55,46,745
"result.22",22,96,55,771
"result.23",23,76,48,751
"result.24",24,81,62,782
"result.25",25,109,62,782
"result.26",26,52,41,763
"result.27",27,63,47,777
"result.28",28,69,46,773
"result.29",29,78,55,776
"result.30",30,85,72,780
"result.31",31,80,55,777
"result.32",32,57,46,774
"result.33",33,78,54,773
"result.34",34,78,47,764
"result.35",35,59,50,783
"result.36",36,82,54,777
"result.37",37,51,37,784
"result.38",38,68,52,771
"result.39",39,69,52,778
"result.40",40,42,38,758
"result.41",41,70,55,763
"result.42",42,93,66,757
"result.43",43,69,51,738
"result.44",44,66,52,777
"result.45",45,66,41,707
"result.46",46,70,56,767
"result.47",47,68,52,724
"result.48",48,67,48,745
"result.49",49,71,53,767
"result.50",50,51,45,760
"result.51",51,79,55,762
"result.52",52,58,43,777
"result.53",53,77,55,783
"result.54",54,73,50,783
"result.55",55,63,53,742
"result.56",56,50,48,781
"result.57",57,62,44,757
"result.58",58,49,44,773
"result.59",59,65,49,783
"result.60",60,70,57,781
"result.61",61,65,50,756
"result.62",62,61,49,739
"result.63",63,63,54,780
"result.64",64,54,48,778
"result.65",65,69,51,784
"result.66",66,73,54,774
"result.67",67,56,44,777
"result.68",68,67,53,771
"result.69",69,54,46,767
"result.70",70,60,48,779
"result.71",71,58,44,784
"result.72",72,64,48,759
"result.73",73,65,46,766
"result.74",74,70,56,782
"result.75",75,73,54,774
"result.76",76,84,45,782
"result.77",77,59,53,777
"result.78",78,85,66,745
"result.79",79,65,46,737
"result.80",80,81,57,770
"result.81",81,64,58,768
"result.82",82,88,47,747
"result.83",83,75,56,778
"result.84",84,70,54,783
"result.85",85,73,50,761
"result.86",86,75,49,772
"result.87",87,73,53,773
"result.88",88,61,44,768
"result.89",89,59,49,783
"result.90",90,78,54,771
"result.91",91,54,47,784
"result.92",92,80,61,783
"result.93",93,66,49,765
"result.94",94,95,56,757
"result.95",95,76,54,766
"result.96",96,74,57,775
"result.97",97,76,60,784
"result.98",98,66,51,773
"result.99",99,69,56,752
"result.100",100,57,50,775
"result.101",101,58,45,768
"result.102",102,88,62,779
"result.103",103,55,48,784
"result.104",104,56,47,782
"result.105",105,51,45,773
"result.106",106,61,47,776
"result.107",107,83,69,777
"result.108",108,60,44,753
"result.109",109,63,41,780
"result.110",110,52,50,773
"result.111",111,57,45,784
"result.112",112,67,51,778
"result.113",113,54,46,768
"result.114",114,43,40,753
"result.115",115,44,39,781
"result.116",116,56,56,780
"result.117",117,93,66,750
"result.118",118,90,56,784
"result.119",119,64,55,777
"result.120",120,63,51,756
"result.121",121,69,48,772
"result.122",122,73,61,775
"result.123",123,64,54,774
"result.124",124,81,61,782
"result.125",125,46,38,756
"result.126",126,75,53,749
"result.127",127,78,59,733
"result.128",128,60,40,779
"result.129",129,57,48,778
"result.130",130,96,54,768
"result.131",131,65,54,784
"result.132",132,70,51,779
"result.133",133,54,42,783
"result.134",134,99,52,783
"result.135",135,44,39,781
"result.136",136,65,49,784
"result.137",137,62,41,778
"result.138",138,50,47,764
"result.139",139,80,56,779
"result.140",140,56,43,774
"result.141",141,94,65,783
"result.142",142,55,46,779
"result.143",143,72,52,767
"result.144",144,81,52,776
"result.145",145,71,46,778
"result.146",146,71,59,781
"result.147",147,58,49,767
"result.148",148,74,58,779
"result.149",149,76,62,780
"result.150",150,41,35,773
"result.151",151,77,55,783
"result.152",152,65,54,763
"result.153",153,77,57,783
"result.154",154,84,63,784
"result.155",155,63,41,770
"result.156",156,71,50,776
"result.157",157,87,56,767
"result.158",158,67,48,777
"result.159",159,78,55,784
"result.160",160,65,55,777
"result.161",161,48,43,779
"result.162",162,60,37,760
"result.163",163,64,47,775
"result.164",164,63,50,777
"result.165",165,77,51,779
"result.166",166,71,51,775
"result.167",167,68,54,766
"result.168",168,50,41,783
"result.169",169,87,59,784
"result.170",170,55,46,777
"result.171",171,75,59,781
"result.172",172,53,43,764
"result.173",173,99,69,764
"result.174",174,55,45,765
"result.175",175,62,48,767
"result.176",176,73,54,776
"result.177",177,67,52,775
"result.178",178,71,44,784
"result.179",179,68,58,757
"result.180",180,49,37,776
"result.181",181,62,51,748
"result.182",182,61,47,774
"result.183",183,63,49,774
"result.184",184,64,52,784
"result.185",185,83,56,783
"result.186",186,67,46,775
"result.187",187,79,63,782
"result.188",188,70,50,783
"result.189",189,88,68,758
"result.190",190,56,48,758
"result.191",191,76,67,778
"result.192",192,65,56,737
"result.193",193,64,47,754
"result.194",194,66,52,770
"result.195",195,65,58,776
"result.196",196,72,54,764
"result.197",197,64,47,782
"result.198",198,62,51,782
"result.199",199,77,58,757
"result.200",200,82,64,773
"result.201",201,71,59,779
"result.202",202,82,58,784
"result.203",203,57,38,778
"result.204",204,75,52,710
"result.205",205,79,63,784
"result.206",206,47,40,774
"result.207",207,72,59,768
"result.208",208,60,54,773
"result.209",209,72,53,783
"result.210",210,62,52,774
"result.211",211,71,58,781
"result.212",212,74,47,767
"result.213",213,79,55,784
"result.214",214,82,57,775
"result.215",215,58,48,735
"result.216",216,60,35,782
"result.217",217,59,51,783
"result.218",218,62,49,770
"result.219",219,60,49,782
"result.220",220,61,46,776
"result.221",221,70,55,777
"result.222",222,80,56,737
"result.223",223,53,42,780
"result.224",224,84,55,779
"result.225",225,47,43,761
"result.226",226,56,41,777
"result.227",227,70,51,769
"result.228",228,64,44,784
"result.229",229,72,54,761
"result.230",230,75,49,780
"result.231",231,57,50,763
"result.232",232,44,37,778
"result.233",233,78,63,744
"result.234",234,77,53,781
"result.235",235,72,54,772
"result.236",236,54,51,763
"result.237",237,78,57,771
"result.238",238,63,53,730
"result.239",239,55,35,759
"result.240",240,88,58,763
"result.241",241,62,42,780
"result.242",242,75,55,779
"result.243",243,68,52,784
"result.244",244,62,50,764
"result.245",245,69,57,762
"result.246",246,76,55,744
"result.247",247,96,61,774
"result.248",248,65,45,780
"result.249",249,58,49,780
"result.250",250,80,59,775
"result.251",251,75,47,780
"result.252",252,72,58,784
"result.253",253,64,44,762
"result.254",254,60,48,769
"result.255",255,63,47,765
"result.256",256,63,51,778
"result.257",257,65,50,776
"result.258",258,49,36,769
"result.259",259,65,46,770
"result.260",260,85,57,781
"result.261",261,61,47,781
"result.262",262,105,75,778
"result.263",263,68,52,779
"result.264",264,57,39,775
"result.265",265,74,44,768
"result.266",266,65,50,758
"result.267",267,65,50,753
"result.268",268,64,56,741
"result.269",269,72,53,768
"result.270",270,70,55,760
"result.271",271,56,43,776
"result.272",272,73,53,751
"result.273",273,69,55,784
"result.274",274,76,54,736
"result.275",275,70,53,769
"result.276",276,127,61,775
"result.277",277,52,41,757
"result.278",278,57,45,770
"result.279",279,61,47,763
"result.280",280,67,46,747
"result.281",281,68,42,765
"result.282",282,62,41,774
"result.283",283,75,58,767
"result.284",284,75,61,758
"result.285",285,72,61,783
"result.286",286,54,43,747
"result.287",287,72,51,783
"result.288",288,63,54,781
"result.289",289,83,59,770
"result.290",290,60,42,759
"result.291",291,51,44,784
"result.292",292,86,63,734
"result.293",293,60,42,782
"result.294",294,76,53,760
"result.295",295,76,60,783
"result.296",296,72,39,779
"result.297",297,73,58,776
"result.298",298,68,49,771
"result.299",299,58,47,777
"result.300",300,61,53,777
"result.301",301,68,58,784
"result.302",302,46,43,776
"result.303",303,67,50,779
"result.304",304,65,48,776
"result.305",305,41,34,755
"result.306",306,80,52,783
"result.307",307,77,51,775
"result.308",308,71,45,776
"result.309",309,51,42,780
"result.310",310,62,52,771
"result.311",311,81,63,777
"result.312",312,72,53,768
"result.313",313,71,51,768
"result.314",314,58,45,743
"result.315",315,81,48,779
"result.316",316,67,41,781
"result.317",317,68,48,768
"result.318",318,76,50,780
"result.319",319,62,54,770
"result.320",320,83,54,781
"result.321",321,71,57,774
"result.322",322,75,59,784
"result.323",323,63,45,777
"result.324",324,62,41,775
"result.325",325,72,54,765
"result.326",326,68,54,784
"result.327",327,88,66,776
"result.328",328,81,53,740
