"","V1","V2","V3","V4"
"result.1",1,49,31,98
"result.2",2,47,22,100
"result.3",3,24,17,97
"result.4",4,24,20,98
"result.5",5,39,24,98
"result.6",6,39,24,98
"result.7",7,43,22,98
"result.8",8,37,20,99
"result.9",9,30,22,95
"result.10",10,39,25,98
"result.11",11,36,22,98
"result.12",12,32,16,100
"result.13",13,28,16,96
"result.14",14,35,23,100
"result.15",15,50,25,100
"result.16",16,32,22,100
"result.17",17,52,24,100
"result.18",18,50,23,100
"result.19",19,26,19,91
"result.20",20,20,17,98
"result.21",21,77,32,99
"result.22",22,12,11,97
"result.23",23,28,24,100
"result.24",24,34,16,89
"result.25",25,40,24,86
"result.26",26,35,21,99
"result.27",27,30,23,97
"result.28",28,24,18,98
"result.29",29,53,25,100
"result.30",30,30,17,97
"result.31",31,30,22,99
"result.32",32,40,23,92
"result.33",33,29,20,97
"result.34",34,40,20,97
"result.35",35,35,23,99
"result.36",36,25,17,89
"result.37",37,45,23,97
"result.38",38,46,28,94
"result.39",39,25,17,91
"result.40",40,46,32,100
"result.41",41,40,18,96
"result.42",42,43,26,97
"result.43",43,36,27,99
"result.44",44,25,18,96
"result.45",45,43,19,98
"result.46",46,32,22,100
"result.47",47,34,19,98
"result.48",48,33,24,100
"result.49",49,43,27,100
"result.50",50,37,23,98
"result.51",51,25,17,98
"result.52",52,27,17,100
"result.53",53,27,20,97
"result.54",54,24,13,94
"result.55",55,29,19,97
"result.56",56,38,26,97
"result.57",57,47,23,95
"result.58",58,34,19,99
"result.59",59,48,27,100
"result.60",60,28,17,100
"result.61",61,27,16,95
"result.62",62,34,18,95
"result.63",63,30,21,98
"result.64",64,31,15,99
"result.65",65,36,22,96
"result.66",66,40,27,98
"result.67",67,47,28,96
"result.68",68,27,16,89
"result.69",69,27,19,97
"result.70",70,35,25,98
"result.71",71,30,21,98
"result.72",72,38,22,100
"result.73",73,42,20,100
"result.74",74,26,21,100
"result.75",75,33,21,97
"result.76",76,21,18,100
"result.77",77,35,26,97
"result.78",78,44,24,98
"result.79",79,28,22,91
"result.80",80,33,24,99
"result.81",81,33,22,99
"result.82",82,34,23,99
"result.83",83,30,18,85
"result.84",84,24,19,99
"result.85",85,35,25,97
"result.86",86,37,20,94
"result.87",87,34,25,100
"result.88",88,40,29,100
"result.89",89,32,19,99
"result.90",90,57,28,100
"result.91",91,21,15,99
"result.92",92,49,15,100
"result.93",93,49,32,98
"result.94",94,32,27,99
"result.95",95,31,16,98
"result.96",96,20,16,93
"result.97",97,30,21,100
"result.98",98,34,28,99
"result.99",99,35,22,95
"result.100",100,34,17,97
"result.101",101,38,23,100
"result.102",102,42,22,96
"result.103",103,39,20,95
"result.104",104,14,13,64
"result.105",105,24,18,97
"result.106",106,44,28,100
"result.107",107,51,29,91
"result.108",108,23,17,97
"result.109",109,34,22,89
"result.110",110,19,14,100
"result.111",111,48,25,98
"result.112",112,26,19,97
"result.113",113,58,25,100
"result.114",114,29,24,98
"result.115",115,36,19,100
"result.116",116,46,21,97
"result.117",117,28,20,98
"result.118",118,26,18,100
"result.119",119,30,16,95
"result.120",120,40,21,100
"result.121",121,32,21,100
"result.122",122,42,20,97
"result.123",123,35,17,99
"result.124",124,25,14,99
"result.125",125,37,26,95
"result.126",126,27,16,100
"result.127",127,32,18,92
"result.128",128,19,11,84
"result.129",129,25,21,100
"result.130",130,20,13,100
"result.131",131,30,15,96
"result.132",132,38,26,95
"result.133",133,30,24,99
"result.134",134,48,25,100
"result.135",135,21,17,99
"result.136",136,38,19,99
"result.137",137,60,28,97
"result.138",138,26,14,84
"result.139",139,26,17,100
"result.140",140,56,24,99
"result.141",141,28,21,96
"result.142",142,34,26,100
"result.143",143,24,16,100
"result.144",144,30,22,100
"result.145",145,22,16,100
"result.146",146,25,21,99
"result.147",147,33,18,97
"result.148",148,47,19,58
"result.149",149,40,27,100
"result.150",150,50,31,99
"result.151",151,22,15,91
"result.152",152,28,20,96
"result.153",153,26,20,97
"result.154",154,33,20,100
"result.155",155,32,16,99
"result.156",156,46,23,97
"result.157",157,29,16,98
"result.158",158,31,25,93
"result.159",159,34,24,100
"result.160",160,31,18,84
"result.161",161,24,18,94
"result.162",162,41,22,94
"result.163",163,40,24,100
"result.164",164,31,16,100
"result.165",165,28,18,98
"result.166",166,36,23,100
"result.167",167,24,20,99
"result.168",168,26,20,100
"result.169",169,46,30,99
"result.170",170,47,26,99
"result.171",171,44,21,100
"result.172",172,43,22,100
"result.173",173,48,26,99
"result.174",174,36,27,92
"result.175",175,31,17,100
"result.176",176,47,27,96
"result.177",177,70,34,100
"result.178",178,47,25,95
"result.179",179,22,12,98
"result.180",180,22,15,97
"result.181",181,29,24,100
"result.182",182,21,15,98
"result.183",183,34,16,95
"result.184",184,42,18,100
"result.185",185,33,23,89
"result.186",186,38,29,99
"result.187",187,43,24,100
"result.188",188,47,23,100
"result.189",189,61,21,96
"result.190",190,31,18,99
"result.191",191,30,20,99
"result.192",192,27,18,98
"result.193",193,25,18,99
"result.194",194,36,21,100
"result.195",195,35,24,96
"result.196",196,61,27,99
"result.197",197,37,17,100
"result.198",198,33,21,100
"result.199",199,31,18,98
"result.200",200,35,19,99
"result.201",201,31,23,98
"result.202",202,28,17,100
"result.203",203,29,20,97
"result.204",204,41,23,98
"result.205",205,72,26,96
"result.206",206,43,25,100
"result.207",207,35,24,96
"result.208",208,29,20,99
"result.209",209,33,21,99
"result.210",210,50,21,100
"result.211",211,27,20,100
"result.212",212,33,20,74
"result.213",213,32,25,100
"result.214",214,16,13,82
"result.215",215,35,20,99
"result.216",216,25,19,100
"result.217",217,18,12,99
"result.218",218,32,25,99
"result.219",219,25,14,93
"result.220",220,45,29,92
"result.221",221,44,25,98
"result.222",222,40,29,93
"result.223",223,37,24,98
"result.224",224,53,31,97
"result.225",225,26,17,99
"result.226",226,29,19,97
"result.227",227,49,27,97
"result.228",228,54,28,90
"result.229",229,36,18,99
"result.230",230,40,22,100
"result.231",231,29,14,99
"result.232",232,46,18,100
"result.233",233,36,14,89
"result.234",234,48,26,99
"result.235",235,49,29,100
"result.236",236,25,13,82
"result.237",237,38,26,98
"result.238",238,53,26,97
"result.239",239,20,17,100
"result.240",240,33,19,97
"result.241",241,35,23,85
"result.242",242,19,15,94
"result.243",243,29,21,91
"result.244",244,27,19,100
"result.245",245,37,17,99
"result.246",246,71,29,100
"result.247",247,28,17,100
"result.248",248,29,20,96
"result.249",249,29,22,100
"result.250",250,25,18,96
"result.251",251,40,20,98
"result.252",252,35,20,96
"result.253",253,24,16,100
"result.254",254,17,15,98
"result.255",255,21,16,96
"result.256",256,19,16,94
"result.257",257,45,23,97
"result.258",258,21,18,98
"result.259",259,36,28,100
"result.260",260,39,23,98
"result.261",261,50,26,100
"result.262",262,49,22,100
"result.263",263,42,24,96
"result.264",264,36,11,100
"result.265",265,30,23,100
"result.266",266,53,22,98
"result.267",267,32,19,95
"result.268",268,34,25,99
"result.269",269,22,21,98
"result.270",270,15,14,96
"result.271",271,44,24,100
"result.272",272,49,22,93
"result.273",273,25,20,98
"result.274",274,33,18,99
"result.275",275,33,19,93
"result.276",276,57,22,100
"result.277",277,55,31,96
"result.278",278,45,23,97
"result.279",279,44,20,94
"result.280",280,19,15,100
"result.281",281,75,35,97
"result.282",282,35,19,98
"result.283",283,40,22,86
"result.284",284,44,27,100
"result.285",285,25,17,91
"result.286",286,26,20,95
"result.287",287,65,29,100
"result.288",288,36,22,100
"result.289",289,29,16,100
"result.290",290,51,27,100
"result.291",291,23,13,99
"result.292",292,31,27,99
"result.293",293,41,26,98
"result.294",294,23,20,100
"result.295",295,25,18,99
"result.296",296,23,15,100
"result.297",297,35,19,100
"result.298",298,32,22,97
"result.299",299,50,23,91
"result.300",300,40,21,98
"result.301",301,46,23,100
"result.302",302,19,15,93
"result.303",303,15,13,93
"result.304",304,29,21,95
"result.305",305,30,16,98
"result.306",306,28,19,97
"result.307",307,34,22,95
